Scientific_Name,Number/Code,Date collected,Locality,Sex,Bill_TotalCulmen,Bill_FromNostril,Bill_Width,Bill_Depth,Tarsus_Length,Wing_Chord,Tail_Length,Measurer
Rubigula melanictera,20 B,27.8.05,Kottawa,M,14.9,7.7,3.9,4.5,18,78.5,64.5,SAM
Rubigula melanictera,20 C,9.2.6,Balangoda,M,14.7,8.1,4.6,5.3,17.5,75,72.7,SAM
Rubigula melanictera,20 E,1.12.20,Nuwara Eliya,F,14.5,7.6,4,4.5,16.8,70.3,66.8,SAM
Rubigula melanictera,20 I,1.3.34,Not available,F,14.4,8.7,3.5,4.5,15.8,71.5,69.6,SAM
Rubigula melanictera,20 K,1.3.34,Not available,F,14.5,8.1,4.4,5,16.9,72,74.3,SAM
Rubigula melanictera,20 M,20.8.52,Kathirawela,M,13.9,7.3,4.2,3.9,NA,68.5,66,SAM
Rubigula melanictera,20 P,11.1.55,Kukulegama,M,14,7.1,4.5,5,15.2,73.8,75,SAM
Pycnonotus cafer,18 A,24.7.7,Not available,M,18,8.8,5,5.2,18.2,88,81.9,SAM
Pycnonotus cafer,18 B,4.12.7,Lankagama,M,18.4,9.5,4.4,5.1,22.3,98.5,83.7,SAM
Pycnonotus cafer,18 E,28.12.23,Hakgala,F,17.5,9,4.4,4.8,22.3,83.4,80.6,SAM
Pycnonotus cafer,18 F,12.12.21,Panadura,F,17.2,8.5,5.8,4.6,21.5,77.9,77.1,SAM
Pycnonotus cafer,18 G,16.4.24,Hakgala,M,18.1,9.5,5.4,5.3,19.7,89.1,78.6,SAM
Pycnonotus cafer,18 H,5.7.22,Colombo,M,18.1,9.5,5.5,5.6,22.1,92,88,SAM
Pycnonotus cafer,18 I,8.9.19,Katupothwewa,M,17.2,9.9,4.8,5,26,89.3,76.8,SAM
Pycnonotus cafer,18 K,11.6.19,Welimada,M,17,8.5,4.4,4.5,20.2,85.6,81,SAM
Pycnonotus cafer,18 L,7.8.20,Palatupana,F,17.4,7.9,5.6,4.2,21.6,86.4,76,SAM
Pycnonotus cafer,18 M,5.4.31,Kubalgama,M,19.2,10,4.5,4.9,NA,85,78.5,SAM
Pycnonotus cafer,18 O,9.1.55,Weddagala,M,17.9,10,4.5,5,21,85.8,84.1,SAM
Pycnonotus cafer,18 P,10.1.55,Weddagala,F,17.7,9.5,4.9,5.1,22,86.5,93,SAM
Pycnonotus cafer,18 Q,9.1.55,Weddagala,F,17.2,9.2,4.4,5.3,22.4,88.7,82.7,SAM
Hypsipetes ganeesa,17 A,NA,NA,F,26.2,16.2,5.5,6.8,15,116.1,111.3,SAM
Hypsipetes ganeesa,17 D,13.02.06,Balangoda,M,28.3,16,5.9,7.4,22.1,118,111.7,SAM
Hypsipetes ganeesa,17 E,28.04.18,Hakgala,F,26.3,16.8,5.7,6.4,18.3,110.7,107.4,SAM
Hypsipetes ganeesa,17 F,6.12.22,Bogawantalawa,M,27.1,16.2,6.5,6.9,19.1,119.2,106.2,SAM
Hypsipetes ganeesa,17 G,24.2.23,Hakgala,M,27.4,16.1,5.6,5.9,18.1,114.5,104.5,SAM
Hypsipetes ganeesa,17 H,9.12.20,Passara,M,27,16.2,5.9,6.7,18.2,117.4,96.4,SAM
Hypsipetes ganeesa,17 I,26.4.24,Hakgala,F,23.8,13.7,6.3,6.2,17,108.1,98.4,SAM
Hypsipetes ganeesa,17 K,9.12.20,Pasara,M,29,17.2,7.2,6.1,17.7,116,114.4,SAM
Hypsipetes ganeesa,17 L,7.12.20,Passara,M,26.3,15.6,5.7,6.1,17.4,111,101.6,SAM
Hypsipetes ganeesa,17 M,23.12.23,Hakgala,F,26.2,16,5.4,5.7,NA,110.3,97.1,SAM
Hypsipetes ganeesa,17 O,11.1.30,Kithulgala,M,27.2,17.1,6.2,6.6,17.7,120.2,110.5,SAM
Hypsipetes ganeesa,17 P,5.4.31,Kubalgama,M,27.4,15.3,6,6.2,21.1,118.2,116.1,SAM
Hypsipetes ganeesa,17 Q,9.4.31,Kubalgama,M,28.8,16.7,6,6.5,NA,119.2,101,SAM
Hypsipetes ganeesa,17 S,16.2.33,Not available,F,29.5,18.3,5.8,6,17.5,119.2,109.3,SAM
Hypsipetes ganeesa,17 T,15.5.34,Kolonna,F,25.3,15.7,6.1,5.7,NA,120.7,98.5,SAM
Acritillas indica,19 A,NA,NA,M,19.9,11.1,5.1,4.9,18.5,87.2,78.5,SAM
Acritillas indica,19 C,NA,NA,U,19.2,10.3,5.1,5.5,16.3,89.1,82.5,SAM
Acritillas indica,19 D,20.7.2,Horana,F,19.4,9.6,5.4,4.8,-,82,81.6,SAM
Acritillas indica,19 E,8.2.6,Balangoda,M,17.3,10.3,4.6,4.6,17.2,82.3,79.5,SAM
Acritillas indica,19 H,18.11.50,Not available ,F,19,16.5,4.5,5.3,18.1,81.3,74.5,SAM
Acritillas indica,19 I,18.11.53,Not available ,M,19.2,10.5,4.9,5.1,19.7,84.8,82.4,SAM
Acritillas indica,19 J,23.3.69,Sinharaja,M,21.1,11.9,5.1,5.9,20.2,84.6,84.2,SAM
Acritillas indica,19 K,23.3.69,Sinharaja,F,20.1,12.4,4.4,5.4,-,82.5,81.1,SAM
Acritillas indica,19 L,4.7.68,Nilgala,F,20.4,12,4.4,5.2,-,87.3,86.5,SAM
Acritillas indica,19 M,4.7.68,Nilgala,F,17.7,11.1,3.7,4.9,21,83.2,83.4,SAM